,ROUNDS,AVG,TOTAL STROKES,TOTAL ADJUSTMENT,TOTAL ROUNDS,EVENTS,TOTAL RNDS,EVENTS,%,OFFICIAL MONEY WON,POTENTIAL MONEY,ROUNDS,AVERAGE,TOTAL SG:T,TOTAL SG:T2G,TOTAL SG:P,MEASURED ROUNDS
Harris English,42.0,71.234,2952.0,39.818,42.0,12.0,18.0,12.0,2.21,"$323,184","$14,616,000",42.0,0.10800000000000001,3.685,-8.055,11.741,34.0
C.T. Pan,38.0,71.235,2679.0,27.936,38.0,11.0,14.0,11.0,2.58,"$384,989","$14,930,000",38.0,-0.603,-10.847999999999999,-8.493,-2.355,18.0
J.J. Spaun,43.0,71.242,3015.0,48.418,43.0,12.0,21.0,12.0,5.45,"$859,812","$15,786,000",43.0,0.052000000000000005,1.311,-0.161,1.47,25.0
Martin Laird,32.0,71.251,2253.0,27.047,32.0,10.0,14.0,10.0,2.15,"$268,262","$12,456,000",32.0,-0.019,-0.48,-7.084,6.602,25.0
Jordan Spieth,24.0,71.26,1693.0,17.249,24.0,7.0,10.0,7.0,1.56,"$146,975","$9,431,000",24.0,-0.5479999999999999,-10.41,-10.131,-0.27899999999999997,19.0
Matt Jones,37.0,71.26100000000001,2606.0,30.650,37.0,11.0,17.0,11.0,1.98,"$243,600","$12,276,000",37.0,0.503,11.579,8.857000000000001,2.722,23.0
Chesson Hadley,36.0,71.271,2535.0,30.750,36.0,11.0,13.0,11.0,7.1,"$1,021,599","$14,382,000",36.0,0.915,20.125999999999998,10.952,9.172,22.0
Kyoung-Hoon Lee,40.0,71.27199999999999,2821.0,29.860,40.0,13.0,15.0,13.0,2.46,"$376,992","$15,318,000",40.0,0.41100000000000003,9.048,7.132000000000001,1.9169999999999998,22.0
Sebastián Muñoz,38.0,71.288,2673.0,35.941,38.0,11.0,17.0,11.0,2.19,"$268,693","$12,276,000",38.0,0.06,1.439,11.664000000000001,-10.225,24.0
Adam Svensson,35.0,71.294,2470.0,25.283,35.0,11.0,13.0,11.0,1.43,"$175,114","$12,276,000",35.0,0.371,9.281,14.26,-4.979,25.0
Rory Sabbatini,31.0,71.296,2181.0,29.178,31.0,9.0,16.0,9.0,1.39,"$149,163","$10,710,000",31.0,-0.37799999999999995,-8.326,-8.021,-0.304,22.0
Brian Stuard,44.0,71.298,3098.0,39.100,44.0,13.0,16.0,13.0,2.44,"$392,105","$16,038,000",44.0,0.308,8.934,2.557,6.377999999999999,29.0
José de Jesús Rodríguez,35.0,71.32300000000001,2461.0,35.296,35.0,11.0,12.0,11.0,0.94,"$115,643","$12,276,000",35.0,-0.09300000000000001,-1.9509999999999998,-10.113999999999999,8.163,21.0
Austin Cook,24.0,71.334,1690.0,22.011,24.0,8.0,9.0,8.0,2.97,"$323,078","$10,890,000",24.0,-1.081,-14.048,-9.967,-4.081,13.0
Adam Long,29.0,71.343,2056.0,12.955,29.0,11.0,9.0,11.0,9.57,"$1,284,868","$13,428,000",29.0,-0.18600000000000003,-4.271,5.386,-9.656,23.0
Anders Albertson,35.0,71.345,2462.0,35.080,35.0,12.0,12.0,12.0,2.37,"$350,808","$14,832,000",35.0,-0.034,-0.8490000000000001,2.5380000000000003,-3.386,25.0
Stewart Cink,25.0,71.345,1763.0,20.631,25.0,8.0,9.0,8.0,2.33,"$249,337","$10,692,000",25.0,-0.024,-0.355,-6.347,5.9910000000000005,15.0
